Unnamed: 0,track_name,album,artist,release_year,track_data_concat,first_genre_assigned,energy,danceability,duration_ms,mode,spotify_url,artist_image,album_cover,position,period
0,"Principia (feat. Fabiana Cozza, Pastor Henrique Vieira & Pastoras do Rosário)",AmarElo,Emicida,2019,"Principia (feat. Fabiana Cozza, Pastor Henrique Vieira & Pastoras do Rosário)
Emicida
AmarElo
2019",afrofuturismo brasileiro,0.592,0.513,355867,1,https://open.spotify.com/track/1wTuMYmA3AJC7zKg6cuu19,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b273a4c3a6f5913f662897a388fa,1,long_term
1,Alumiô,Alumiô,Luiza Lian,2019,"Alumiô
Luiza Lian
Alumiô
2019",afrobeat brasileiro,0.654,0.71,204116,1,https://open.spotify.com/track/1wBZJA59toDn4TESZRPxs3,https://i.scdn.co/image/ab6761610000e5ebf4821ced87a99a129f3048ed,https://i.scdn.co/image/ab67616d0000b273204b3134c73fb38f7237611d,2,long_term
2,melhor sozinha :-)-:,melhor sozinha :-)-:,Luísa Sonza,2021,"melhor sozinha :-)-:
Luísa Sonza
melhor sozinha :-)-:
2021",funk carioca,0.299,0.65,227216,0,https://open.spotify.com/track/0gpZ8zy9OAE98nNBVIxWvi,https://i.scdn.co/image/ab6761610000e5eb0868e40af63067661b9d9e2f,https://i.scdn.co/image/ab67616d0000b2733bf35d9543186a44cf6c5c7a,3,long_term
3,Maracaia,Alegria Original,Timbalada,2006,"Maracaia
Timbalada
Alegria Original
2006",axe,0.687,0.654,243093,0,https://open.spotify.com/track/4cDBakzov3PwSl69bP3s3h,https://i.scdn.co/image/ab6761610000e5eb46b1768eee836c2ad096f0ed,https://i.scdn.co/image/ab67616d0000b273cc438bc7a2e224479b140407,4,long_term
4,Expresso Sudamericah,Dolores Dala Guardião do Alívio,Rico Dalasam,2021,"Expresso Sudamericah
Rico Dalasam
Dolores Dala Guardião do Alívio
2021",funk carioca,0.679,0.603,184227,0,https://open.spotify.com/track/2NZ4K2NAgH7Nqsh2hbcam3,https://i.scdn.co/image/ab6761610000e5eb1c158f22fb79ffd6a891fb18,https://i.scdn.co/image/ab67616d0000b2734f16120329252a2324a4b05e,5,long_term
5,EU TE AMO,MEMÓRIAS (de onde eu nunca fui),Lagum,2021,"EU TE AMO
Lagum
MEMÓRIAS (de onde eu nunca fui)
2021",belo horizonte indie,0.469,0.626,188541,1,https://open.spotify.com/track/4WbkVm4eW824meQyaf4qfv,https://i.scdn.co/image/ab6761610000e5eb3e88d7bb247be86ce78edb77,https://i.scdn.co/image/ab67616d0000b27351686d809de14a6d5b270eec,6,long_term
6,Detesto Despedidas,Coisas da Geração,Lagum,2019,"Detesto Despedidas
Lagum
Coisas da Geração
2019",belo horizonte indie,0.638,0.801,174721,1,https://open.spotify.com/track/4ow47hEGWz7eKykRH3npQP,https://i.scdn.co/image/ab6761610000e5eb3e88d7bb247be86ce78edb77,https://i.scdn.co/image/ab67616d0000b2734cedf031ee76c7fbd3f969ef,7,long_term
7,Água,Djavan,Djavan,1978,"Água
Djavan
Djavan
1978",bossa nova,0.6,0.414,219173,1,https://open.spotify.com/track/7j9SLvtP89AbYzVhsJVzHm,https://i.scdn.co/image/ab6761610000e5eb3f1dbad3d3615bdc0478ea88,https://i.scdn.co/image/ab67616d0000b273906b2e5d11cef03ba171dd18,8,long_term
8,"Cananéia, Iguape e Ilha Comprida",AmarElo,Emicida,2019,"Cananéia, Iguape e Ilha Comprida
Emicida
AmarElo
2019",afrofuturismo brasileiro,0.794,0.501,335600,1,https://open.spotify.com/track/3aXbjjFVHC86pSZey62vbS,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b273a4c3a6f5913f662897a388fa,9,long_term
9,Me Dê,Martins,Martins,2019,"Me Dê
Martins
Martins
2019",nova mpb,0.563,0.753,274284,0,https://open.spotify.com/track/71uNKEzoGW0t0BYs15GKtn,https://i.scdn.co/image/ab6761610000e5ebc3e5d00477e8eab2116c814d,https://i.scdn.co/image/ab67616d0000b273f2da5945e1e98ee0951dcb85,10,long_term
10,Manga,Manga,Mayra Andrade,2019,"Manga
Mayra Andrade
Manga
2019",afropop,0.533,0.718,170413,1,https://open.spotify.com/track/1Iod4fjYd6TTXw9DI6nHpB,https://i.scdn.co/image/ab6761610000e5eb1363702b40ba564dbf5d73f1,https://i.scdn.co/image/ab67616d0000b273c713da96e0d91dfb91b017b7,11,long_term
11,A Nível De...,Comissão De Frente,João Bosco,1982,"A Nível De...
João Bosco
Comissão De Frente
1982",bossa nova,0.741,0.632,220067,0,https://open.spotify.com/track/6XqBNBCqLypx0rubKLtkcC,https://i.scdn.co/image/ab6761610000e5ebe700714015500c6eb76fc63d,https://i.scdn.co/image/ab67616d0000b273062b05b99456b8a1166a3282,12,long_term
12,Quem Tem Um Amigo (Tem Tudo) (feat. Zeca Pagodinho & Tokyo Ska Paradise Orchestra),AmarElo,Emicida,2019,"Quem Tem Um Amigo (Tem Tudo) (feat. Zeca Pagodinho & Tokyo Ska Paradise Orchestra)
Emicida
AmarElo
2019",afrofuturismo brasileiro,0.938,0.811,249000,0,https://open.spotify.com/track/4yEBOuDHhrFeGXyXNJ3C4y,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b273a4c3a6f5913f662897a388fa,13,long_term
13,Love Proceeding,Talk Memory,BADBADNOTGOOD,2021,"Love Proceeding
BADBADNOTGOOD
Talk Memory
2021",alternative hip hop,0.584,0.318,325829,0,https://open.spotify.com/track/5F8XPD481L6K2s8h02Vxuo,https://i.scdn.co/image/ab6761610000e5eb61d28b161209f1ee239fdafa,https://i.scdn.co/image/ab67616d0000b2738953ebcbd40186343ae9be8b,14,long_term
14,A Ordem Natural das Coisas (feat. Mc Tha),AmarElo,Emicida,2019,"A Ordem Natural das Coisas (feat. Mc Tha)
Emicida
AmarElo
2019",afrofuturismo brasileiro,0.589,0.429,235867,1,https://open.spotify.com/track/7MK6sYlWniVj8D1mrAAIwb,https://i.scdn.co/image/ab6761610000e5eb908b4b4bc90e1518b68b4068,https://i.scdn.co/image/ab67616d0000b273a4c3a6f5913f662897a388fa,15,long_term
15,DDGA,Dolores Dala Guardião do Alívio,Rico Dalasam,2021,"DDGA
Rico Dalasam
Dolores Dala Guardião do Alívio
2021",funk carioca,0.534,0.401,84173,1,https://open.spotify.com/track/1AKL1ojB0nHmfAPMhmCtla,https://i.scdn.co/image/ab6761610000e5eb1c158f22fb79ffd6a891fb18,https://i.scdn.co/image/ab67616d0000b2734f16120329252a2324a4b05e,16,long_term
16,Afeto,Manga,Mayra Andrade,2019,"Afeto
Mayra Andrade
Manga
2019",afropop,0.875,0.83,264413,0,https://open.spotify.com/track/6Y9ajxGefBUK9pMbT0C8gv,https://i.scdn.co/image/ab6761610000e5eb1363702b40ba564dbf5d73f1,https://i.scdn.co/image/ab67616d0000b273c713da96e0d91dfb91b017b7,17,long_term
17,Na Beira Do Mar,Mãe De Samba,Timbalada,1997,"Na Beira Do Mar
Timbalada
Mãe De Samba
1997",axe,0.697,0.654,176160,1,https://open.spotify.com/track/4LGDlrDVSIZJq1nxWlrJoi,https://i.scdn.co/image/ab6761610000e5eb46b1768eee836c2ad096f0ed,https://i.scdn.co/image/ab67616d0000b2734385e1d2f9df41cfbac35794,18,long_term
18,Solidão Civilizada,Mansa Fúria,Josyara,2018,"Solidão Civilizada
Josyara
Mansa Fúria
2018",musica baiana,0.362,0.739,170240,1,https://open.spotify.com/track/44M0XkFD3S8M3XGWOfMlRd,https://i.scdn.co/image/ab6761610000e5eb44c63462f644d6a87361aeda,https://i.scdn.co/image/ab67616d0000b27333bf3de66ce1cbe6ef63df46,19,long_term
19,Cariñito,Tropicalísimo: Clásicos de Cumbia Peruana,Various Artists,2017,"Cariñito
Various Artists
Tropicalísimo: Clásicos de Cumbia Peruana
2017",alternative rock,0.781,0.715,245031,1,https://open.spotify.com/track/2jQj5bsJeOad1YoaPWjJHm,https://i.scdn.co/image/ab6761610000e5eb7462d94efa2db53abba8c003,https://i.scdn.co/image/ab67616d0000b27392af73906d5b2f924e455a84,20,long_term
20,Bixinho,Sinto Muito,DUDA BEAT,2018,"Bixinho
DUDA BEAT
Sinto Muito
2018",funk carioca,0.366,0.685,205946,1,https://open.spotify.com/track/04RFAnuBZkyITGUNIbZHhb,https://i.scdn.co/image/ab6761610000e5ebdd52a88ff9d82d7f94b5db68,https://i.scdn.co/image/ab67616d0000b2731d7513bbad99e03fea580da5,21,long_term
21,Olhos Em Protesto,Martins,Martins,2019,"Olhos Em Protesto
Martins
Martins
2019",nova mpb,0.398,0.396,244730,0,https://open.spotify.com/track/5xjmTOWDrF2oBq4bnUFA82,https://i.scdn.co/image/ab6761610000e5ebc3e5d00477e8eab2116c814d,https://i.scdn.co/image/ab67616d0000b273f2da5945e1e98ee0951dcb85,22,long_term
22,Piou,Piou,Orgânico,2020,"Piou
Orgânico
Piou
2020",pop rap brasileiro,0.291,0.747,282931,0,https://open.spotify.com/track/3fDga6YoAWqkmfA47jpgBg,https://i.scdn.co/image/ab6761610000e5eb332aa7441501fec1da39cc1c,https://i.scdn.co/image/ab67616d0000b2731f30acc8560bf62a77db4e1d,23,long_term
23,Yellow,Parachutes,Coldplay,2000,"Yellow
Coldplay
Parachutes
2000",permanent wave,0.285,0.429,266773,1,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,24,long_term
24,Alumiô (Cai na Terra),Alumiô (Cai na Terra),Bixiga 70,2019,"Alumiô (Cai na Terra)
Bixiga 70
Alumiô (Cai na Terra)
2019",afrobeat brasileiro,0.666,0.542,273659,1,https://open.spotify.com/track/4HAgKaVCvRqcIFiMXPH778,https://i.scdn.co/image/ab6761610000e5eb64d4fedaf778ad1953c74830,https://i.scdn.co/image/ab67616d0000b2738fb1d28d4155064046dd5a29,25,long_term
25,Trem do Pantanal,Doma,Almir Sater,1982,"Trem do Pantanal
Almir Sater
Doma
1982",folk brasileiro,0.517,0.544,196200,1,https://open.spotify.com/track/5TbGggVvN7PiUoYKonwokZ,https://i.scdn.co/image/ab6761610000e5eb88f2d08a99e3a097986d36da,https://i.scdn.co/image/ab67616d0000b273cbd17654eae442c0482de6cc,26,long_term
26,Meu Mel,O Original,Zé Vaqueiro,2020,"Meu Mel
Zé Vaqueiro
O Original
2020",arrocha,0.542,0.566,163588,1,https://open.spotify.com/track/7Jw5gMzNL8g0aeX27mUhuW,https://i.scdn.co/image/ab6761610000e5ebac0402a2a11c65685ae4ae74,https://i.scdn.co/image/ab67616d0000b273ab441d7003afe2d716698906,27,long_term
27,DESCOBRIDOR,MEMÓRIAS (de onde eu nunca fui),Lagum,2021,"DESCOBRIDOR
Lagum
MEMÓRIAS (de onde eu nunca fui)
2021",belo horizonte indie,0.572,0.617,188519,0,https://open.spotify.com/track/2pg5jMIT8VlxYnwWFff9UT,https://i.scdn.co/image/ab6761610000e5eb3e88d7bb247be86ce78edb77,https://i.scdn.co/image/ab67616d0000b27351686d809de14a6d5b270eec,28,long_term
28,Água Da Minha Sede,Água Da Minha Sede,Zeca Pagodinho,2000,"Água Da Minha Sede
Zeca Pagodinho
Água Da Minha Sede
2000",pagode,0.521,0.684,248493,1,https://open.spotify.com/track/5yEGs6NxH8JJseKVNKeduc,https://i.scdn.co/image/ab6761610000e5eb6ec92095c26af9ea20cd4451,https://i.scdn.co/image/ab67616d0000b27360b21e5bb4f7d985393b9f43,29,long_term
29,Louca,Louca,Alice Caymmi,2017,"Louca
Alice Caymmi
Louca
2017",funk carioca,0.905,0.871,159000,0,https://open.spotify.com/track/40taoSSjzKnymwcc5NJVOj,https://i.scdn.co/image/ab6761610000e5eb05854de218ef93ef2365e122,https://i.scdn.co/image/ab67616d0000b2737ae6b8121932b5d4313a4b27,30,long_term
30,As It Was,As It Was,Harry Styles,2022,"As It Was
Harry Styles
As It Was
2022",pop,0.662,0.52,167303,0,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,31,long_term
31,primavera,Roteiro pra Aïnouz (Vol. 2),Don L,2021,"primavera
Don L
Roteiro pra Aïnouz (Vol. 2)
2021",brazilian hip hop,0.581,0.431,249280,0,https://open.spotify.com/track/3Dx6Wk14yRdWlQonXjDG0h,https://i.scdn.co/image/ab6761610000e5ebfd2973d1223ebefb570f32f4,https://i.scdn.co/image/ab67616d0000b2730052784c6ce6f843c97fb724,32,long_term
32,Chuva No Brejo,Moraes Moreira,Moraes Moreira,1975,"Chuva No Brejo
Moraes Moreira
Moraes Moreira
1975",bossa nova,0.764,0.512,251347,1,https://open.spotify.com/track/38mKWX7C2FVctK9wWo1luO,https://i.scdn.co/image/ab67616d0000b273d68cf46efe9eb9a14258bc76,https://i.scdn.co/image/ab67616d0000b2735633a0f3e3e8f25521863777,33,long_term
33,Quero Você do Jeito Que Quiser,Festa das Patroas,Marília Mendonça,2020,"Quero Você do Jeito Que Quiser
Marília Mendonça
Festa das Patroas
2020",arrocha,0.353,0.698,215979,1,https://open.spotify.com/track/64I6t2tuUGnIlaDIzHJ6YI,https://i.scdn.co/image/ab6761610000e5eb178a83212c7e82d1389cb76a,https://i.scdn.co/image/ab67616d0000b2738a719f513acb2844a0c2948b,34,long_term
34,enquanto recomeça,Roteiro pra Aïnouz (Vol. 2),Don L,2021,"enquanto recomeça
Don L
Roteiro pra Aïnouz (Vol. 2)
2021",brazilian hip hop,0.214,0.686,187504,0,https://open.spotify.com/track/0udrtBC4E19RBX33bdQPLo,https://i.scdn.co/image/ab6761610000e5ebfd2973d1223ebefb570f32f4,https://i.scdn.co/image/ab67616d0000b2730052784c6ce6f843c97fb724,35,long_term
35,Miçanga,Miçanga,BaianaSystem,2020,"Miçanga
BaianaSystem
Miçanga
2020",afrobeat brasileiro,0.668,0.698,243667,0,https://open.spotify.com/track/7yqGQh8ullxqsv30ASaEgE,https://i.scdn.co/image/ab6761610000e5ebac291f376ca791339f922209,https://i.scdn.co/image/ab67616d0000b273f1db06f70c6b5d415449a7af,36,long_term
36,Dia Lindo,Violeta,Terno Rei,2019,"Dia Lindo
Terno Rei
Violeta
2019",brazilian rock,0.309,0.634,110347,1,https://open.spotify.com/track/0zG0LzLbVueZll4drMFPgz,https://i.scdn.co/image/ab6761610000e5eb5b50950f4987d00ae9a9215d,https://i.scdn.co/image/ab67616d0000b27342486337c11ac28cbd7e9ae3,37,long_term
37,Presença,Crianças Selvagens,Hot,2020,"Presença
Hot
Crianças Selvagens
2020",,0.915,0.935,225253,1,https://open.spotify.com/track/20NpUXWROh40QTESlCTx1n,https://i.scdn.co/image/ab6761610000e5eb0fe92079ea93f0cb4e29ffae,https://i.scdn.co/image/ab67616d0000b273b298465574cc0983dbab0c8e,38,long_term
38,Toneladas De Desejo,Cada Cabeca É Um Mundo,Timbalada,1995,"Toneladas De Desejo
Timbalada
Cada Cabeca É Um Mundo
1995",axe,0.826,0.74,187533,1,https://open.spotify.com/track/0jDrBNdjnSW2PKBibuJTtW,https://i.scdn.co/image/ab6761610000e5eb46b1768eee836c2ad096f0ed,https://i.scdn.co/image/ab67616d0000b273b218c52cea3e45771a5001ee,39,long_term
39,Ogã de Ogum,Dos Santos,Fabiana Cozza,2020,"Ogã de Ogum
Fabiana Cozza
Dos Santos
2020",afrofuturismo brasileiro,0.763,0.886,182736,1,https://open.spotify.com/track/2O3SGRM2Mbxm9CvZMUQBoc,https://i.scdn.co/image/ab6761610000e5ebc3677dc9bd8dea7febeeef93,https://i.scdn.co/image/ab67616d0000b2736d0f3f0a42cdfb559d1e2165,40,long_term
40,Forasteiro,Forasteiro,BaianaSystem,2016,"Forasteiro
BaianaSystem
Forasteiro
2016",afrobeat brasileiro,0.856,0.685,210373,0,https://open.spotify.com/track/6SdaB4qWrwFG5goKg3NbVj,https://i.scdn.co/image/ab6761610000e5ebac291f376ca791339f922209,https://i.scdn.co/image/ab67616d0000b27326eebe64dbeba8f4657d6c64,41,long_term
41,Por um Minuto (Por un Minuto) - Ao Vivo,Acústico - Ao Vivo,Bruno & Marrone,2001,"Por um Minuto (Por un Minuto) - Ao Vivo
Bruno & Marrone
Acústico - Ao Vivo
2001",pagode,0.383,0.624,286733,1,https://open.spotify.com/track/2UDG7xlSeJ51V5PJpJGcup,https://i.scdn.co/image/ab6761610000e5ebbb76e357a834654e45e76f1f,https://i.scdn.co/image/ab67616d0000b2739ce10bf887848831c83ec215,42,long_term
42,Nanã,Mansa Fúria,Josyara,2018,"Nanã
Josyara
Mansa Fúria
2018",musica baiana,0.344,0.683,229307,1,https://open.spotify.com/track/6PW0Oe1zwAP5IG6bQP4pWs,https://i.scdn.co/image/ab6761610000e5eb44c63462f644d6a87361aeda,https://i.scdn.co/image/ab67616d0000b27333bf3de66ce1cbe6ef63df46,43,long_term
43,Maré,Comadre Florzinha,Comadre Florzinha,1999,"Maré
Comadre Florzinha
Comadre Florzinha
1999",brazilian indie,0.715,0.597,207560,0,https://open.spotify.com/track/6wIdjIf4Eg43xWzm6zivNk,https://i.scdn.co/image/ab67616d0000b273c13ac6332357afcb10ff2139,https://i.scdn.co/image/ab67616d0000b273c13ac6332357afcb10ff2139,44,long_term
44,Supera - Ao Vivo,Pagode do Pericão (Ao Vivo),Péricles,2019,"Supera - Ao Vivo
Péricles
Pagode do Pericão (Ao Vivo)
2019",pagode,0.696,0.556,232279,0,https://open.spotify.com/track/0h9xMQP3ctuibd4Ce2037O,https://i.scdn.co/image/ab6761610000e5eb954f97eb8ee21ca812df09af,https://i.scdn.co/image/ab67616d0000b273a6de6a4bebf0f2f11dd4abc9,45,long_term
45,Estar Com Você,Essa É a Nossa Música,Ponto De Equilíbrio,2016,"Estar Com Você
Ponto De Equilíbrio
Essa É a Nossa Música
2016",brazilian hip hop,0.716,0.678,232771,0,https://open.spotify.com/track/7vr4COpQ4Q8TnVDHBzdG8i,https://i.scdn.co/image/ab6761610000e5eb346cd74e3a12f49529384300,https://i.scdn.co/image/ab67616d0000b2739de411641dc37eac2bf6d191,46,long_term
46,Esqueça-Me Se For Capaz,Festa das Patroas 35%,Marília Mendonça,2021,"Esqueça-Me Se For Capaz
Marília Mendonça
Festa das Patroas 35%
2021",arrocha,0.623,0.799,169059,0,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC,https://i.scdn.co/image/ab6761610000e5eb178a83212c7e82d1389cb76a,https://i.scdn.co/image/ab67616d0000b2734ed454af2f9a6719f4155241,47,long_term
47,Se Você Se For / Música Incidental: Máscara Negra,Cada Cabeca É Um Mundo,Timbalada,1995,"Se Você Se For / Música Incidental: Máscara Negra
Timbalada
Cada Cabeca É Um Mundo
1995",axe,0.938,0.663,193240,1,https://open.spotify.com/track/2CTXp8oxU72GfC26c8Xtpr,https://i.scdn.co/image/ab6761610000e5eb46b1768eee836c2ad096f0ed,https://i.scdn.co/image/ab67616d0000b273b218c52cea3e45771a5001ee,48,long_term
48,Nossa Dança,Martins,Martins,2019,"Nossa Dança
Martins
Martins
2019",nova mpb,0.658,0.637,196151,0,https://open.spotify.com/track/1WWqQ0oymrvrxYznz3lVkY,https://i.scdn.co/image/ab6761610000e5ebc3e5d00477e8eab2116c814d,https://i.scdn.co/image/ab67616d0000b273f2da5945e1e98ee0951dcb85,49,long_term
